id,text,Anger,Fear,Joy,Sadness,Surprise
eng_train_track_a_00915,"She never listens, no matter how many times I explain.",1.0,1.0,0.0,0.0,0.0
eng_train_track_a_00416,But one criminal shoot from gun to my hand.,1.0,1.0,0.0,0.0,0.0
eng_train_track_a_03513,"The fear of the unknown kept me frozen in place, unable to move or make a decision.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_01414,What demon likes peas?,0.0,0.0,0.0,0.0,1.0
eng_train_track_a_03305,The last thing I expected was to find myself in this situation.,0.0,1.0,0.0,1.0,0.0
eng_train_track_a_01709,My face was just not meant to smile.,1.0,0.0,0.0,1.0,0.0
eng_train_track_a_01220,They also had to flush out my eyes ( which i had had closed the ENTIRE time ) cause they had glass in them.,0.0,1.0,0.0,1.0,0.0
eng_train_track_a_00487,one and a million car/van ride.,0.0,0.0,1.0,0.0,1.0
eng_train_track_a_01789,"I never felt very ""spiritual"".",0.0,0.0,0.0,1.0,0.0
eng_train_track_a_01219,"As my friend Steve called for better directions and as he was getting them, I fell again thinking I could break and quickly put my foot on the curb.",0.0,1.0,0.0,1.0,0.0
eng_train_track_a_02417,Totally creeped me out.,0.0,1.0,0.0,0.0,1.0
eng_train_track_a_02909,"The more I thought about it, the angrier I became, each memory adding fuel to the fire.",1.0,0.0,0.0,0.0,0.0
eng_train_track_a_03660,"My friends threw me a surprise party, and I was overjoyed!",1.0,0.0,1.0,0.0,0.0
eng_train_track_a_03031,The old house creaked as I walked through it alone.,0.0,1.0,0.0,0.0,1.0
synthetic_anger_080,I wasn’t given the credit I deserved.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_03340,"Surprise flashed through me, and I couldn’t help but gasp in shock.",0.0,0.0,1.0,0.0,1.0
eng_train_track_a_00596,"But when i see, what i'm missing I just can't take it SO here i sit miserably all alone... Its your eyes and your smile that puts the beat in my heart And to know I can't have this just tears me apart....",0.0,1.0,0.0,1.0,0.0
eng_train_track_a_02950,"The darkness seemed to close in around me, and I could feel my heart pounding in my chest.",0.0,0.0,1.0,0.0,1.0
eng_train_track_a_01622,"My last sentence was ""I know you're right but still"".",0.0,0.0,0.0,1.0,0.0
eng_train_track_a_03080,"With each passing moment, the sadness grew, and the fear of facing the future became unbearable.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_02649,"She claimed I beat her, raped her, tortured, and abused her.",1.0,1.0,0.0,1.0,1.0
eng_train_track_a_00548,It was one of my most shameful experiences.,0.0,1.0,0.0,1.0,0.0
eng_train_track_a_03430,The joy of seeing my old friend again after so many years made me feel like nothing else mattered.,0.0,0.0,1.0,0.0,1.0
eng_train_track_a_00200,What is even more interesting is that I know exactly how I got this definition.,0.0,0.0,1.0,0.0,1.0
eng_train_track_a_01418,Guys are trying to get in your pants.,1.0,1.0,0.0,0.0,0.0
eng_train_track_a_00565,So anyways it's late at night and I was down in my living room sleeping on my couch.,0.0,0.0,0.0,0.0,0.0
eng_train_track_a_02440,It smells divine-citrus and sandalwood-and helps me fool myself into thinking that my hands aren't aging badly.,0.0,0.0,1.0,1.0,0.0
eng_train_track_a_01695,"However, deep inside my heart, I really want to go back to my hometown.",0.0,0.0,0.0,1.0,0.0
